X inicial Newton,Y inicial Newton,X final Newton,Y final Newton,Valor final Newton,Iteraciones Newton
-100,-100,-2.9035340278944233,-2.9035340278944233,-78.33233140754284,14
-100,-90,-2.9035340278944233,-2.9035340277723662,-78.33233140754284,14
-100,-80,-2.9035340278944233,-2.903534027771179,-78.33233140754282,14
-100,-70,-2.9035340278944233,-2.903534027771177,-78.33233140754282,14
-100,-60,-2.9035340278944233,-2.903534027771177,-78.33233140754282,14
-100,-50,-2.9035340278944233,-2.903534027771177,-78.33233140754282,14
-100,-40,-2.9035340278944233,-2.903534027771177,-78.33233140754282,14
-100,-30,-2.9035340278944233,-2.903534027771177,-78.33233140754282,14
-100,-20,-2.9035340278944233,-2.903534027771177,-78.33233140754282,14
-100,-10,-2.9035340278944233,-2.903534027771177,-78.33233140754282,14
-100,0,-2.9035340278944233,0.1567312567803401,-38.97055334471606,14
-100,10,-2.9035340278944233,2.746802770990837,-64.19561235905536,14
-100,20,-2.9035340278944233,2.7468027709908367,-64.19561235905536,14
-100,30,-2.9035340278944233,2.746802770990837,-64.19561235905536,14
-100,40,-2.9035340278944233,2.7468027709908367,-64.19561235905536,14
-100,50,-2.9035340278944233,2.746802770990837,-64.19561235905536,14
-100,60,-2.9035340278944233,2.746802770990837,-64.19561235905536,14
-100,70,-2.9035340278944233,2.746802770990837,-64.19561235905536,14
-100,80,-2.9035340278944233,2.7468027709910796,-64.19561235905536,14
-100,90,-2.9035340278944233,2.7468027710448357,-64.19561235905536,14
-100,100,-2.9035340278944233,2.7468027739191356,-64.19561235905536,14
-90,-100,-2.9035340277723662,-2.9035340278944233,-78.33233140754284,14
-90,-90,-2.9035340277723662,-2.9035340277723662,-78.33233140754284,14
-90,-80,-2.9035340277723662,-2.903534027771179,-78.33233140754282,14
-90,-70,-2.9035340277723662,-2.903534027771177,-78.33233140754282,14
-90,-60,-2.9035340277723662,-2.903534027771177,-78.33233140754282,14
-90,-50,-2.9035340277723662,-2.903534027771177,-78.33233140754282,14
-90,-40,-2.9035340277723662,-2.903534027771177,-78.33233140754282,14
-90,-30,-2.9035340277723662,-2.903534027771177,-78.33233140754282,14
-90,-20,-2.9035340277723662,-2.903534027771177,-78.33233140754282,14
-90,-10,-2.9035340277723662,-2.903534027771177,-78.33233140754282,14
-90,0,-2.9035340277723662,0.1567312567803401,-38.97055334471606,14
-90,10,-2.9035340277723662,2.746802770990837,-64.19561235905536,14
-90,20,-2.9035340277723662,2.7468027709908367,-64.19561235905536,14
-90,30,-2.9035340277723662,2.746802770990837,-64.19561235905536,14
-90,40,-2.9035340277723662,2.7468027709908367,-64.19561235905536,14
-90,50,-2.9035340277723662,2.746802770990837,-64.19561235905536,14
-90,60,-2.9035340277723662,2.746802770990837,-64.19561235905536,14
-90,70,-2.9035340277723662,2.746802770990837,-64.19561235905536,14
-90,80,-2.9035340277723662,2.7468027709910796,-64.19561235905536,14
-90,90,-2.9035340277723662,2.7468027710448357,-64.19561235905536,14
-90,100,-2.9035340277723662,2.7468027739191356,-64.19561235905536,14
-80,-100,-2.903534027771179,-2.9035340278944233,-78.33233140754282,14
-80,-90,-2.903534027771179,-2.9035340277723662,-78.33233140754282,14
-80,-80,-2.90353409422467,-2.90353409422467,-78.3323314075427,13
-80,-70,-2.90353409422467,-2.9035340285728535,-78.33233140754275,13
-80,-60,-2.90353409422467,-2.9035340277723476,-78.33233140754277,13
-80,-50,-2.90353409422467,-2.903534027771177,-78.33233140754277,13
-80,-40,-2.90353409422467,-2.903534027771177,-78.33233140754277,13
-80,-30,-2.90353409422467,-2.903534027771177,-78.33233140754277,13
-80,-20,-2.90353409422467,-2.903534027771177,-78.33233140754277,13
-80,-10,-2.90353409422467,-2.903534027771177,-78.33233140754277,13
-80,0,-2.90353409422467,0.1567312567803401,-38.97055334471599,13
-80,10,-2.90353409422467,2.7468027709908367,-64.19561235905529,13
-80,20,-2.90353409422467,2.746802770990837,-64.19561235905529,13
-80,30,-2.90353409422467,2.7468027709908367,-64.19561235905529,13
-80,40,-2.90353409422467,2.746802770990837,-64.19561235905529,13
-80,50,-2.90353409422467,2.7468027709908442,-64.19561235905529,13
-80,60,-2.90353409422467,2.746802771044105,-64.19561235905529,13
-80,70,-2.90353409422467,2.7468027856593227,-64.19561235905529,13
-80,80,-2.90353409422467,2.746803427444149,-64.19561235904898,13
-80,90,-2.903534027771179,2.7468027710448357,-64.19561235905536,14
-80,100,-2.903534027771179,2.7468027739191356,-64.19561235905536,14
-70,-100,-2.903534027771177,-2.9035340278944233,-78.33233140754282,14
-70,-90,-2.903534027771177,-2.9035340277723662,-78.33233140754282,14
-70,-80,-2.9035340285728535,-2.90353409422467,-78.33233140754275,13
-70,-70,-2.9035340285728535,-2.9035340285728535,-78.33233140754281,13
-70,-60,-2.9035340285728535,-2.9035340277723476,-78.33233140754282,13
-70,-50,-2.9035340285728535,-2.903534027771177,-78.33233140754282,13
-70,-40,-2.9035340285728535,-2.903534027771177,-78.33233140754282,13
-70,-30,-2.9035340285728535,-2.903534027771177,-78.33233140754282,13
