X inicial Newton,Y inicial Newton,X final Newton,Y final Newton,Valor final Newton,Iteraciones Newton,Tamaño de paso,X inicial Gradiente,Y inicial Gradiente,X final Gradiente,Y final Gradiente,Valor final Gradiente,Iteraciones Gradiente
-100,-100,-2.9035340278944233,-2.9035340278944233,-78.33233140754284,14,0.001,-100,-100,-13681390.347680788,-13681390.347680788,3.5036517809515935e+28,3
-100,-90,-2.9035340278944233,-2.9035340277723662,-78.33233140754284,14,0.001,-100,-90,-13681390.347680788,-5102647.5426145755,1.785722190024768e+28,3
-100,-80,-2.9035340278944233,-2.903534027771179,-78.33233140754282,14,0.001,-100,-80,-13681390.347680788,-1674658.989963672,1.7522191466456856e+28,3
-100,-70,-2.9035340278944233,-2.903534027771177,-78.33233140754282,14,0.001,-100,-70,-13681390.347680788,-464314.09695438604,1.7518282143760428e+28,3
-100,-60,-2.9035340278944233,-2.903534027771177,-78.33233140754282,14,0.001,-100,-60,-13681390.347680788,-101783.62275541798,1.7518258958421792e+28,3
-100,-50,-2.9035340278944233,-2.903534027771177,-78.33233140754282,14,0.001,-100,-50,-13681390.347680788,-15605.789613869973,1.7518258904787623e+28,3
-100,-40,-2.9035340278944233,-2.903534027771177,-78.33233140754282,14,0.001,-100,-40,-13681390.347680788,-1244.5555912439688,1.751825890475797e+28,3
-100,-30,-2.9035340278944233,-2.903534027771177,-78.33233140754282,14,0.001,-100,-30,-13681390.347680788,-2.122499441968749,1.7518258904757967e+28,3
-100,-20,-2.9035340278944233,-2.903534027771177,-78.33233140754282,14,0.001,-100,-20,-13681390.347680788,-4.23263676596875,1.7518258904757967e+28,3
-100,-10,-2.9035340278944233,-2.903534027771177,-78.33233140754282,14,0.001,-100,-10,-13681390.347680788,-7.20792391796875,1.7518258904757967e+28,3
-100,0,-2.9035340278944233,0.1567312567803401,-38.97055334471606,14,0.001,-100,0,-13681390.347680788,-0.00503999996875,1.7518258904757967e+28,3
-100,10,-2.9035340278944233,2.746802770990837,-64.19561235905536,14,0.001,-100,10,-13681390.347680788,7.19984148603125,1.7518258904757967e+28,3
-100,20,-2.9035340278944233,2.7468027709908367,-64.19561235905536,14,0.001,-100,20,-13681390.347680788,4.223116638031249,1.7518258904757967e+28,3
-100,30,-2.9035340278944233,2.746802770990837,-64.19561235905536,14,0.001,-100,30,-13681390.347680788,2.1290151540312507,1.7518258904757967e+28,3
-100,40,-2.9035340278944233,2.7468027709908367,-64.19561235905536,14,0.001,-100,40,-13681390.347680788,1244.7744643320311,1.751825890475797e+28,3
-100,50,-2.9035340278944233,2.746802770990837,-64.19561235905536,14,0.001,-100,50,-13681390.347680788,15606.969953070036,1.7518258904787632e+28,3
-100,60,-2.9035340278944233,2.746802770990837,-64.19561235905536,14,0.001,-100,60,-13681390.347680788,101787.74279586606,1.7518258958430482e+28,3
-100,70,-2.9035340278944233,2.746802770990837,-64.19561235905536,14,0.001,-100,70,-13681390.347680788,464325.4291968181,1.7518282146029232e+28,3
