Tamaño de paso,X inicial Gradiente,Y inicial Gradiente,X final Gradiente,Y final Gradiente,Valor final Gradiente,Iteraciones Gradiente
0.001,-90,-30,-5102647.5426145755,-2.122499441968749,3.3896299548971134e+26,3
0.001,-90,-20,-5102647.5426145755,-4.23263676596875,3.3896299548971134e+26,3
0.001,-90,-10,-5102647.5426145755,-7.20792391796875,3.3896299548971134e+26,3
0.001,-90,0,-5102647.5426145755,-0.00503999996875,3.3896299548971134e+26,3
0.001,-90,10,-5102647.5426145755,7.19984148603125,3.3896299548971134e+26,3
0.001,-90,20,-5102647.5426145755,4.223116638031249,3.3896299548971134e+26,3
0.001,-90,30,-5102647.5426145755,2.1290151540312507,3.3896299548971134e+26,3
0.001,-90,40,-5102647.5426145755,1244.7744643320311,3.389629954897125e+26,3
0.001,-90,50,-5102647.5426145755,15606.969953070036,3.389629955193764e+26,3
0.001,-90,60,-5102647.5426145755,101787.74279586606,3.389630491622254e+26,3
0.001,-90,70,-5102647.5426145755,464325.4291968181,3.389862367609767e+26,3
0.001,-90,80,-5102647.5426145755,1674685.641513624,3.428958075353686e+26,3
0.001,-90,90,-5102647.5426145755,5102703.557121582,6.779408751410841e+26,3
0.001,-90,100,-5102647.5426145755,13681498.455277592,1.7857775609854577e+28,3
0.001,-80,-100,-1674658.989963672,-13681390.347680788,1.7522191466456856e+28,3
0.001,-80,-90,-1674658.989963672,-5102647.5426145755,3.428955571886002e+26,3
0.001,-80,-80,-1674658.989963672,-1674658.989963672,7.8651233977777e+24,3
0.001,-80,-70,-1674658.989963672,-464314.09695438604,3.955800701348196e+24,3
0.001,-80,-60,-1674658.989963672,-101783.62275541798,3.932615362713494e+24,3
0.001,-80,-50,-1674658.989963672,-15605.789613869973,3.932561728544877e+24,3
0.001,-80,-40,-1674658.989963672,-1244.5555912439688,3.9325616988900494e+24,3
0.001,-80,-30,-1674658.989963672,-2.122499441968749,3.93256169888885e+24,3
0.001,-80,-20,-1674658.989963672,-4.23263676596875,3.93256169888885e+24,3
0.001,-80,-10,-1674658.989963672,-7.20792391796875,3.93256169888885e+24,3
0.001,-80,0,-1674658.989963672,-0.00503999996875,3.93256169888885e+24,3
0.001,-80,10,-1674658.989963672,7.19984148603125,3.93256169888885e+24,3
0.001,-80,20,-1674658.989963672,4.223116638031249,3.93256169888885e+24,3
0.001,-80,30,-1674658.989963672,2.1290151540312507,3.93256169888885e+24,3
0.001,-80,40,-1674658.989963672,1244.7744643320311,3.9325616988900505e+24,3
0.001,-80,50,-1674658.989963672,15606.969953070036,3.93256172855385e+24,3
0.001,-80,60,-1674658.989963672,101787.74279586606,3.9326153714029294e+24,3
0.001,-80,70,-1674658.989963672,464325.4291968181,3.9558029701541855e+24,3
0.001,-80,80,-1674658.989963672,1674685.641513624,7.86537374454609e+24,3
0.001,-80,90,-1674658.989963672,5102703.557121582,3.429104413502617e+26,3
0.001,-80,100,-1674658.989963672,13681498.455277592,1.7522745176063753e+28,3
0.001,-70,-100,-464314.09695438604,-13681390.347680788,1.7518282143760428e+28,3
0.001,-70,-90,-464314.09695438604,-5102647.5426145755,3.389862344921707e+26,3
0.001,-70,-80,-464314.09695438604,-1674658.989963672,3.955800701348196e+24,3
0.001,-70,-70,200200705158382.1,200200705158382.1,1.606432239352328e+57,4
0.001,-70,-60,200200705158382.1,2108937396507.3953,8.032161295668124e+56,4
0.001,-70,-50,200200705158382.1,7601273044.929015,8.03216119676164e+56,4
0.001,-70,-40,200200705158382.1,3854166.1860699463,8.03216119676164e+56,4
0.001,-70,-30,200200705158382.1,-2.1398356965926006,8.03216119676164e+56,4
0.001,-70,-20,200200705158382.1,-4.15120176739344,8.03216119676164e+56,4
0.001,-70,-10,200200705158382.1,-6.576787331754026,8.03216119676164e+56,4
0.001,-70,0,200200705158382.1,-0.007620639712201877,8.03216119676164e+56,4
0.001,-70,10,200200705158382.1,6.566092252907126,8.03216119676164e+56,4
0.001,-70,20,200200705158382.1,4.137550348214795,8.03216119676164e+56,4
0.001,-70,30,200200705158382.1,2.141278998988117,8.03216119676164e+56,4
0.001,-70,40,200200705158382.1,-3856200.426050375,8.03216119676164e+56,4
0.001,-70,50,200200705158382.1,-7602997937.783982,8.03216119676164e+56,4
0.001,-70,60,200200705158382.1,-2109193506256.9722,8.032161295716177e+56,4
0.001,-70,70,200200705158382.1,-200215364060510.25,1.6066675144424095e+57,4
0.001,-70,80,-464314.09695438604,1674685.641513624,3.956051048116587e+24,3
0.001,-70,90,-464314.09695438604,5102703.557121582,3.3900111865383214e+26,3
0.001,-70,100,-464314.09695438604,13681498.455277592,1.7518835853367325e+28,3
0.001,-60,-100,-101783.62275541798,-13681390.347680788,1.7518258958421792e+28,3
0.001,-60,-90,-101783.62275541798,-5102647.5426145755,3.38963049153536e+26,3
0.001,-60,-80,-101783.62275541798,-1674658.989963672,3.932615362713494e+24,3
0.001,-60,-70,2108937396507.3953,200200705158382.1,8.032161295668124e+56,4
0.001,-60,-60,2108937396507.3953,2108937396507.3953,1.978129646621136e+49,4
0.001,-60,-50,2108937396507.3953,7601273044.929015,9.890648234774907e+48,4
0.001,-60,-40,2108937396507.3953,3854166.1860699463,9.89064823310568e+48,4
0.001,-60,-30,2108937396507.3953,-2.1398356965926006,9.89064823310568e+48,4
0.001,-60,-20,2108937396507.3953,-4.15120176739344,9.89064823310568e+48,4
0.001,-60,-10,2108937396507.3953,-6.576787331754026,9.89064823310568e+48,4
0.001,-60,0,2108937396507.3953,-0.007620639712201877,9.89064823310568e+48,4
0.001,-60,10,2108937396507.3953,6.566092252907126,9.89064823310568e+48,4
0.001,-60,20,2108937396507.3953,4.137550348214795,9.89064823310568e+48,4
0.001,-60,30,2108937396507.3953,2.141278998988117,9.89064823310568e+48,4
0.001,-60,40,2108937396507.3953,-3856200.426050375,9.89064823310568e+48,4
0.001,-60,50,2108937396507.3953,-7602997937.783982,9.890648234776422e+48,4
0.001,-60,60,2108937396507.3953,-2109193506256.9722,1.9786101830111364e+49,4
0.001,-60,70,2108937396507.3953,-200215364060510.25,8.034514046568937e+56,4
0.001,-60,80,-101783.62275541798,1674685.641513624,3.932865709481885e+24,3
0.001,-60,90,-101783.62275541798,5102703.557121582,3.3897793331519745e+26,3
0.001,-60,100,-101783.62275541798,13681498.455277592,1.751881266802869e+28,3
0.001,-50,-100,-15605.789613869973,-13681390.347680788,1.7518258904787623e+28,3
0.001,-50,-90,-15605.789613869973,-5102647.5426145755,3.389629955193674e+26,3
0.001,-50,-80,-15605.789613869973,-1674658.989963672,3.932561728544877e+24,3
0.001,-50,-70,7601273044.929015,200200705158382.1,8.03216119676164e+56,4
0.001,-50,-60,7601273044.929015,2108937396507.3953,9.890648234774907e+48,4
0.001,-50,-50,7601273044.929015,7601273044.929015,3.3384535063959337e+39,4
